2021,Don't Start Now,Dua Lipa,Caroline Ailin & Ian Kirkpatrick, producers; Josh Gudwin, Drew Jurecka & Ian Kirkpatrick, engineers/mixers; Chris Gehringer, mastering engineer
2021,Rockstar,DaBaby featuring Roddy Ricch,SethinTheKitchen, producer; Derek MixedByAli Ali, Chris Dennis & Liz Robson, engineers/mixers; Susan Tabor, mastering engineer
2021,Savage,Megan Thee Stallion featuring Beyoncé,Beyoncé & J. White Did It, producers; Stuart White, engineer/mixer; Colin Leonard, mastering engineer
2021,Say So,Doja Cat,Tyson Trax, producer; Clint Gibbs, engineer/mixer; Mike Bozzi, mastering engineer
2022,Leave the Door Open,Silk Sonic,Dernst D'Mile Emile II & Bruno Mars, producers; Serban Ghenea, John Hanes & Charles Moniz, engineers/mixers; Randy Merrill, mastering engineer
2022,Drivers License,Olivia Rodrigo,Daniel Nigro, producer; Mitch McCarthy & Nigro, engineers/mixers; Randy Merrill, mastering engineer
2022,Freedom,Jon Batiste,Jon Batiste, Kizzo & Autumn Rowe, producers; Russ Elevado, Kizzo & Manny Marroquin, engineers/mixers; Michelle Mancini, mastering engineer
2022,Happier Than Ever,Billie Eilish,Finneas O'Connell, producer; Billie Eilish, Finneas O'Connell & Rob Kinelski, engineers/mixers; Dave Kutch, mastering engineer
2022,I Get a Kick Out of You,Tony Bennett & Lady Gaga,Dae Bennett, producer; Dae Bennett & Josh Coleman, engineers/mixers; Greg Calbi & Steve Fallone, mastering engineers
2022,I Still Have Faith in You,ABBA,Benny Andersson & Björn Ulvaeus, producers; Benny Andersson & Bernard Löhr, engineers/mixers; Björn Engelmann, mastering engineer
2022,Kiss Me More,Doja Cat featuring SZA,Rogét Chahayed, tizhimself & Yeti Beats, producers; Rob Bisel, Serban Ghenea, Rian Lewis & Joe Visciano, engineers/mixers; Mike Bozzi, mastering engineer
2022,Montero (Call Me By Your Name),Lil Nas X,Omer Fedi, Roy Lenzo & Take A Daytrip, producers; Denzel Baptiste, Serban Ghenea & Roy Lenzo, engineers/mixers; Chris Gehringer, mastering engineer
2022,Peaches,Justin Bieber featuring Daniel Caesar and Giveon,Josh Gudwin, Harv, Shndo & Andrew Watt producers; Josh Gudwin & Andrew Watt, engineers/mixers; Colin Leonard, mastering engineer
2022,Right on Time,Brandi Carlile,Dave Cobb & Shooter Jennings, producers; Brandon Bell & Tom Elmhirst, engineers/mixers; Pete Lyman, mastering engineer
